anio,timestre,clave,salario,inpc_general,mexindpro
2012,4,11,216.970861,107.15159,119.6407043
2001,1,12,108.6452264,66.68011,99.65866832
2001,2,12,114.8916306,67.49124,99.63357944
2001,3,12,113.851012,67.56959,100.053331
2001,4,12,118.4515546,68.34884,99.61450967
2002,1,12,121.5553658,68.60048,98.55714561
2002,2,12,122.961969,69.82623,99.32485004
2002,3,12,124.7439092,70.73449,99.45769375
2002,4,12,126.5978598,71.73047,99.49988738
2003,1,12,128.4435329,72.18056,100.7079991
2003,2,12,131.3543791,72.55489,99.84226644
2003,3,12,134.2226812,72.97465,98.64165685
2003,4,12,136.4277466,73.68874,101.4634522
2004,1,12,136.8067442,74.69305,104.3735571
2004,2,12,139.7365083,75.16024,102.9221253
2004,3,12,141.9987086,76.17594,104.2730928
2004,4,12,145.1618749,77.45965,104.9995635
2005,1,12,148.95199,77.82015,105.0543786
2005,2,12,151.2890664,78.5753,105.7389947
2005,3,12,153.6300553,79.07179,107.8074637
2005,4,12,156.3785793,79.81586,110.9397676
2006,1,12,158.4614156,80.88732,112.1336545
2006,2,12,160.5697629,81.28762,114.140797
2006,3,12,162.5459952,82.08339,113.2200485
2006,4,12,163.4694055,83.23558,112.9463419
2007,1,12,167.4854574,84.23305,116.283485
2007,2,12,170.2202724,84.62087,115.4359435
2007,3,12,172.0869245,85.52732,115.7224699
2007,4,12,174.1516413,86.65112,115.3218362
2008,1,12,176.9896399,87.65081,116.4028017
2008,2,12,180.7530873,88.89306,115.8726575
2008,3,12,185.0849953,90.57067,113.2364385
2008,4,12,189.033623,92.61096,109.1938814
2009,1,12,191.4361945,92.83833,104.4461705
2009,2,12,192.8783532,93.95789,104.0040417
2009,3,12,192.9007841,94.42477,106.1386502
2009,4,12,195.2080662,95.14065,109.3413194
2010,1,12,197.2004789,96.99358,112.0859596
2010,2,12,199.1282882,97.7938,112.5118004
2010,3,12,202.187002,98.12423,113.4257218
2010,4,12,203.082692,99.00085,114.9106933
2011,1,12,204.5536113,100.74358,115.9944754
2011,2,12,207.5622908,101.11595,116.4620657
2011,3,12,212.064895,101.88367,117.9813496
2011,4,12,212.2844718,102.94646,119.6225905
2012,1,12,217.1715769,104.57707,120.4963085
2012,2,12,219.4148266,105.29906,122.0109257
2012,3,12,222.9201739,106.8139,122.0605247
2012,4,12,221.4799254,107.78596,119.6407043
2001,1,13,112.0875972,66.60103,99.65866832
2001,2,13,116.4238502,67.12348,99.63357944
2001,3,13,118.7421247,67.04622,100.053331
2001,4,13,121.4288662,68.27781,99.61450967
2002,1,13,124.9105304,68.90592,98.55714561
2002,2,13,126.8265211,69.67039,99.32485004
